title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude
M 6.8 - south of the Fiji Islands,6.8,09-11-2022 09:38,1,3,4,1,711,us,136,4.678,22.0,0,630.379,-26.0,178.0
"M 6.7 - 60 km SSW of Boca Chica, Panama",6.7,20-10-2022 11:57,7,6,4,1,797,us,145,1.151,37.0,0,20.0,8.0,-82.0
"M 6.8 - 55 km SSW of Aguililla, Mexico",6.8,22-09-2022 06:16,8,7,2,1,1179,us,175,2.137,92.0,0,20.0,18.0,-103.0
"M 7.6 - 35 km SSW of Aguililla, Mexico",7.6,19-09-2022 18:05,9,8,2,1,1799,us,271,1.153,69.0,0,26.943,18.0,-103.0
"M 6.9 - 90 km E of Yujing, Taiwan",6.9,18-09-2022 06:44,9,9,2,1,887,us,215,0.401,34.0,0,10.0,23.0,121.0
"M 6.5 - 96 km SE of Lugu, Taiwan",6.5,17-09-2022 13:41,7,7,4,1,756,us,178,0.43,54.0,0,10.0,23.0,121.0
"M 7.0 - 209 km SSE of Isangel, Vanuatu",7.0,14-09-2022 11:04,7,5,4,1,761,us,192,2.977,45.0,0,137.0,-21.0,170.0
"M 7.6 - 70 km E of Kainantu, Papua New Guinea",7.6,10-09-2022 23:47,8,8,2,1,965,us,272,3.158,12.0,0,116.0,-6.0,146.0
"M 6.6 - 44 km SE of Kangding, China",6.6,05-09-2022 04:52,9,8,3,0,1043,us,141,8.454,34.0,0,12.0,30.0,102.0
M 6.6 - south of the Kermadec Islands,6.6,14-08-2022 13:44,7,6,4,1,672,us,68,5.293,34.0,0,30.0,-33.0,-179.0
"M 7.0 - 11 km NE of Bantay, Philippines",7.0,27-07-2022 00:43,9,8,2,1,1351,us,152,5.276,22.0,0,33.729,18.0,121.0
"M 6.5 - 107 km SSW of Tarauacá, Brazil",6.5,08-06-2022 00:55,3,2,4,0,653,us,236,1.999,31.0,0,622.73,-9.0,-71.0
"M 7.2 - 10 km W of Azángaro, Peru",7.2,26-05-2022 12:02,7,5,4,1,876,us,144,2.494,40.0,0,236.0,-15.0,-70.0
M 6.9 - ,6.9,19-05-2022 10:13,2,5,4,1,733,us,127,0.371,45.0,0,10.0,-54.0,159.0
"M 6.8 - 86 km NNW of San Antonio de los Cobres, Argentina",6.8,10-05-2022 23:06,6,5,4,1,762,us,162,1.505,30.0,0,220.0,-24.0,-67.0
"M 6.6 - 55 km WSW of Masachapa, Nicaragua",6.6,21-04-2022 07:42,6,5,4,1,762,us,0,0.914,94.0,0,27.0,12.0,-87.0
M 7.0 - southeast of the Loyalty Islands,7.0,31-03-2022 05:44,6,4,4,1,763,us,0,2.705,26.0,0,10.0,-23.0,170.0
"M 6.9 - 284 km ESE of Tadine, New Caledonia",6.9,30-03-2022 20:56,6,4,4,1,738,us,0,2.697,42.0,0,10.0,-23.0,170.0
"M 6.7 - 65 km S of Hualien City, Taiwan",6.7,22-03-2022 17:41,8,7,4,1,806,us,0,0.289,32.0,0,24.0,23.0,122.0
"M 7.3 - 57 km ENE of Namie, Japan",7.3,16-03-2022 14:36,9,8,1,1,2397,us,0,2.936,29.0,0,41.0,38.0,142.0
"M 6.7 - 166 km W of Pariaman, Indonesia",6.7,13-03-2022 21:09,9,6,4,0,708,us,0,2.188,43.0,0,28.0,-1.0,99.0
"M 6.6 - Kermadec Islands, New Zealand",6.6,02-03-2022 12:52,2,7,4,1,670,us,0,0.827,46.0,0,24.0,-30.0,-178.0
M 6.8 - south of the Fiji Islands,6.8,16-02-2022 20:21,2,3,4,1,712,us,0,5.78,12.0,0,535.0,-24.0,-180.0
"M 6.5 - 49 km NW of Barranca, Peru",6.5,03-02-2022 15:58,8,6,4,0,690,us,0,3.026,22.0,0,110.0,-4.0,-77.0
M 6.5 - Kermadec Islands region,6.5,29-01-2022 02:46,7,4,4,1,651,us,0,1.088,57.0,0,8.0,-30.0,-177.0
"M 6.6 - 80 km SW of Labuan, Indonesia",6.6,14-01-2022 09:05,8,6,4,0,785,us,0,2.418,22.0,0,33.0,-7.0,105.0
"M 6.5 - 71 km SE of Nikolski, Alaska",6.5,11-01-2022 12:39,0,3,0,1,650,at,97,1.61607,108.0,1,37.0,53.0,-168.0
"M 6.5 - 71 km SE of Nikolski, Alaska",6.5,11-01-2022 12:39,0,3,0,1,650,pt,23,0.0,208.8,1,37.0,53.0,-168.0
"M 6.6 - 53 km SE of Nikolski, Alaska",6.6,11-01-2022 12:39,8,5,4,1,674,us,0,0.507,49.0,0,19.0,53.0,-168.0
"M 6.7 - 91 km SE of Nikolski, Alaska",6.7,11-01-2022 11:35,0,4,0,1,691,at,50,0.936943,126.0,1,33.0,52.0,-168.0
"M 6.7 - 91 km SE of Nikolski, Alaska",6.7,11-01-2022 11:35,0,4,0,1,691,pt,20,0.0,205.2,1,33.0,52.0,-168.0
"M 6.8 - 100 km SE of Nikolski, Alaska",6.8,11-01-2022 11:35,7,6,4,1,730,us,0,0.92,61.0,0,20.0,53.0,-168.0
"M 6.6 - 48 km WNW of Pólis, Cyprus",6.6,11-01-2022 01:07,6,6,4,0,976,us,0,1.168,21.0,0,21.0,35.0,32.0
"M 6.6 - northern Qinghai, China",6.6,07-01-2022 17:45,9,8,3,0,1012,us,0,2.685,13.0,0,13.0,38.0,101.0
"M 7.3 - 125 km NNE of Lospalos, Timor Leste",7.3,29-12-2021 18:25,8,7,4,0,921,us,0,3.713,19.0,0,165.49,-8.0,128.0
M 7.3 - Flores Sea,7.3,14-12-2021 03:20,9,5,4,1,854,us,0,1.025,32.0,0,14.27,-8.0,122.0
"M 7.5 - 43 km NNW of Barranca, Peru",7.5,28-11-2021 10:52,8,8,2,1,1094,us,0,4.951,40.0,0,126.0,-4.0,-77.0
"M 6.6 - 177 km SE of Hirara, Japan",6.6,10-11-2021 15:45,7,4,4,1,688,us,0,3.259,15.0,0,12.0,24.0,126.0
"M 6.9 - 112 km E of Chignik, Alaska",6.9,11-10-2021 09:10,8,6,4,1,995,ak,0,0.0,0.0,0,51.6,56.0,-156.0
M 6.9 - Vanuatu region,6.9,09-10-2021 10:58,4,3,4,1,740,us,0,4.778,31.0,0,535.0,-21.0,175.0
M 7.3 - Vanuatu region,7.3,02-10-2021 06:29,4,4,4,1,826,us,0,4.493,32.0,0,527.0,-21.0,175.0
"M 6.5 - 80 km SW of Jiquilillo, Nicaragua",6.5,22-09-2021 09:57,7,5,4,1,684,us,0,0.993,114.0,0,21.0,12.0,-88.0
"M 7.0 - Acapulco, Mexico",7.0,08-09-2021 01:47,8,8,1,1,2504,us,0,0.07,43.0,0,20.0,17.0,-100.0
M 7.1 - South Sandwich Islands region,7.1,22-08-2021 21:33,1,4,4,1,776,us,0,9.799,32.0,0,6.0,-60.0,-25.0
M 6.6 - South Sandwich Islands region,6.6,22-08-2021 00:45,1,3,4,1,670,us,0,8.865,19.0,0,7.0,-60.0,-24.0
"M 6.9 - 17 km N of Port-Olry, Vanuatu",6.9,18-08-2021 10:10,8,7,4,1,741,us,0,0.579,54.0,0,93.0,-15.0,167.0
M 6.9 - South Sandwich Islands region,6.9,16-08-2021 11:10,6,4,4,1,734,us,0,8.363,48.0,0,16.7,-58.0,-23.0
"M 7.2 - Nippes, Haiti",7.2,14-08-2021 12:29,9,8,1,1,2331,us,0,1.178,23.0,0,10.0,18.0,-73.0
"M 6.9 - 136 km SE of Perryville, Alaska",6.9,14-08-2021 11:57,5,4,4,1,738,ak,0,0.0,0.0,0,33.3,55.0,-158.0
"M 6.9 - 125 km SE of Perryville, Alaska",6.9,14-08-2021 11:57,5,4,4,1,738,us,0,1.173,36.0,0,20.74,55.0,-158.0
M 8.1 - South Sandwich Islands region,8.1,12-08-2021 18:35,0,7,4,0,1009,us,0,7.463,78.0,0,22.79,-58.0,-25.0
M 7.5 - South Sandwich Islands region,7.5,12-08-2021 18:32,9,6,4,1,868,us,0,7.227,38.0,0,47.23,-58.0,-25.0
"M 7.1 - 60 km ENE of Pondaguitan, Philippines",7.1,11-08-2021 17:46,9,7,4,1,846,us,0,1.273,25.0,0,55.14,6.0,127.0
"M 8.2 - 91 km ESE of Perryville, Alaska",8.2,29-07-2021 06:15,8,6,4,1,1237,us,0,0.875,66.0,0,46.66,55.0,-158.0
"M 8.2 - 99 km SE of Perryville, Alaska",8.2,29-07-2021 06:15,8,7,2,1,1252,ak,0,0.0,0.0,0,35.0,55.0,-158.0
"M 6.7 - 15 km S of Hukay, Philippines",6.7,23-07-2021 20:48,8,5,4,1,935,us,0,8.139,12.0,0,110.0,14.0,121.0
"M 6.7 - 71 km S of Burica, Panama",6.7,21-07-2021 21:15,6,6,4,1,830,us,0,1.395,61.0,0,10.0,8.0,-83.0
"M 6.5 - Kermadec Islands, New Zealand",6.5,20-06-2021 17:05,0,4,4,1,650,us,0,7.994,24.0,0,25.0,-30.0,-178.0
"M 6.5 - 265 km SSE of Alo, Wallis and Futuna",6.5,21-05-2021 22:13,5,7,4,1,652,us,0,4.518,44.0,0,10.0,-16.0,-177.0
"M 7.3 - Southern Qinghai, China",7.3,21-05-2021 18:04,9,9,3,0,1025,us,0,4.655,9.0,0,10.0,35.0,98.0
"M 6.7 - 260 km S of Sinabang, Indonesia",6.7,14-05-2021 06:33,8,4,4,0,698,us,0,1.487,37.0,0,11.0,0.0,97.0
M 6.7 - Mauritius - Reunion region,6.7,12-05-2021 14:05,9,3,4,0,694,us,0,10.669,45.0,0,10.0,-17.0,66.0
M 6.9 - ,6.9,01-05-2021 01:27,7,6,4,1,919,us,0,2.619,35.0,0,43.0,38.0,142.0
"M 6.5 - 207 km WSW of Haveluloto, Tonga",6.5,25-04-2021 22:28,4,4,4,0,651,us,0,5.931,20.0,0,246.0,-22.0,-177.0
"M 6.5 - 225 km WNW of Pangai, Tonga",6.5,24-04-2021 00:23,6,4,4,0,652,us,0,10.405,19.0,0,301.0,-19.0,-176.0
"M 7.0 - 30 km E of Ishinomaki, Japan",7.0,20-03-2021 09:09,7,7,2,1,1052,us,0,2.378,35.0,0,43.0,38.0,142.0
"M 6.6 - 171 km SSE of Ust’-Kamchatsk Staryy, Russia",6.6,16-03-2021 18:38,5,5,4,1,672,us,0,3.183,18.0,0,13.23,55.0,163.0
M 6.5 - Kermadec Islands region,6.5,04-03-2021 23:12,0,4,4,0,650,us,0,11.764,25.0,3,24.0,-28.0,-177.0
"M 8.1 - Kermadec Islands, New Zealand",8.1,04-03-2021 19:28,9,8,4,1,1021,us,0,0.739,21.0,0,28.93,-30.0,-177.0
"M 7.4 - Kermadec Islands, New Zealand",7.4,04-03-2021 17:41,3,7,4,1,843,us,0,0.437,30.0,0,43.0,-30.0,-178.0
"M 7.3 - 182 km NE of Gisborne, New Zealand",7.3,04-03-2021 13:27,7,6,4,1,932,us,0,0.918,24.0,0,10.0,-38.0,180.0
"M 7.1 - 73 km ENE of Namie, Japan",7.1,13-02-2021 14:07,9,8,3,1,1612,us,0,3.085,11.0,0,43.98,38.0,142.0
M 7.7 - southeast of the Loyalty Islands,7.7,10-02-2021 13:19,9,4,4,1,918,us,0,7.989,15.0,0,10.0,-23.0,171.0
M 6.9 - South Shetland Islands,6.9,23-01-2021 23:36,9,5,4,1,739,us,0,1.55,16.0,0,15.0,-62.0,-56.0
"M 7.0 - 211 km SE of Pondaguitan, Philippines",7.0,21-01-2021 12:23,7,5,4,1,802,us,0,2.821,15.0,0,80.0,5.0,128.0
"M 6.7 - 29 km SSW of Turt, Mongolia",6.7,11-01-2021 21:32,8,8,4,0,776,us,0,2.043,22.0,0,10.0,51.0,100.0
"M 6.7 - 146 km WNW of Corral, Chile",6.7,27-12-2020 21:39,5,5,4,1,776,us,0,1.319,19.0,0,10.0,-39.0,-75.0
"M 7.0 - 13 km NNE of Néon Karlovásion, Greece",7.0,30-10-2020 11:51,8,7,3,0,1527,us,0,1.518,18.0,0,21.0,38.0,27.0
"M 7.6 - 99 km SE of Sand Point, Alaska",7.6,19-10-2020 20:54,9,7,2,1,1165,us,0,0.23,36.0,0,28.37,55.0,-160.0
M 6.9 - central Mid-Atlantic Ridge,6.9,18-09-2020 21:43,0,3,4,1,732,us,0,11.255,16.0,0,10.0,1.0,-27.0
"M 6.5 - 94 km NW of Vallenar, Chile",6.5,01-09-2020 21:09,6,6,4,0,674,us,0,0.388,49.0,0,16.0,-28.0,-71.0
"M 6.8 - 86 km NW of Vallenar, Chile",6.8,01-09-2020 04:09,6,7,4,1,824,us,0,0.312,69.0,0,21.0,-28.0,-71.0
M 6.5 - central Mid-Atlantic Ridge,6.5,30-08-2020 21:20,4,5,4,0,651,us,0,15.394,31.0,0,10.0,1.0,-30.0
"M 6.9 - 222 km SSE of Katabu, Indonesia",6.9,21-08-2020 04:09,4,3,4,0,749,us,0,2.267,20.0,0,624.0,-7.0,123.0
"M 6.9 - 122 km WSW of Bengkulu, Indonesia",6.9,18-08-2020 22:29,4,4,4,0,735,us,0,1.716,25.0,0,26.0,-4.0,101.0
"M 6.8 - 138 km WSW of Bengkulu, Indonesia",6.8,18-08-2020 22:23,5,4,4,0,716,us,0,1.816,34.0,0,22.0,-4.0,101.0
"M 6.6 - 13 km E of San Pedro, Philippines",6.6,18-08-2020 00:03,9,8,2,1,784,us,0,5.128,14.0,0,10.0,12.0,124.0
"M 7.8 - 99 km SSE of Perryville, Alaska",7.8,22-07-2020 06:12,9,7,4,1,1111,us,0,0.621,60.0,0,28.0,55.0,-158.0
"M 7.0 - 114 km NNW of Popondetta, Papua New Guinea",7.0,17-07-2020 02:50,6,7,4,1,820,us,0,1.671,18.0,0,73.0,-8.0,148.0
"M 6.6 - 97 km N of Batang, Indonesia",6.6,06-07-2020 22:54,4,2,4,0,684,us,0,1.458,14.0,0,533.76,-6.0,111.0
"M 7.4 - 9 km SE of Santa María Xadani, Mexico",7.4,23-06-2020 15:29,8,8,3,1,1494,us,0,0.151,30.0,0,20.0,16.0,-96.0
M 7.4 - south of the Kermadec Islands,7.4,18-06-2020 12:49,7,7,4,1,873,us,0,4.035,23.0,0,10.0,-33.0,-178.0
"M 6.6 - 130 km WNW of Naze, Japan",6.6,13-06-2020 15:51,5,4,4,1,734,us,0,2.015,18.0,0,165.0,29.0,128.0
"M 6.8 - 48 km SW of San Pedro de Atacama, Chile",6.8,03-06-2020 07:35,6,6,4,1,835,us,0,1.164,21.0,0,112.0,-23.0,-68.0
"M 6.5 - Monte Cristo Range, NV Earthquake",6.5,15-05-2020 11:03,7,8,4,0,1320,nn,27,0.357,55.79,4,2.7,38.0,-118.0
"M 6.6 - 175 km SSE of Lata, Solomon Islands",6.6,12-05-2020 22:41,4,6,4,1,671,us,0,3.403,12.0,0,107.0,-12.0,167.0
M 6.8 - Banda Sea,6.8,06-05-2020 13:53,4,6,4,0,738,us,0,1.921,16.0,0,96.0,-7.0,130.0
"M 6.5 - 91 km S of Néa Anatolí, Greece",6.5,02-05-2020 12:51,7,6,4,0,678,us,0,1.293,19.0,0,10.0,34.0,26.0
"M 6.5 - Stanley, Idaho",6.5,31-03-2020 23:52,8,8,4,0,1410,us,0,0.885,31.0,0,12.06,44.0,-115.0
"M 7.5 - 221 km SSE of Severo-Kuril’sk, Russia",7.5,25-03-2020 02:49,6,5,4,1,879,us,0,4.109,12.0,0,57.8,49.0,158.0
"M 7.0 - 95 km ENE of Kuril’sk, Russia",7.0,13-02-2020 10:33,5,6,2,1,770,us,0,4.501,25.0,0,143.0,46.0,149.0
"M 7.7 - 123 km NNW of Lucea, Jamaica",7.7,28-01-2020 19:10,9,6,2,1,1812,us,0,1.657,26.0,0,14.86,19.0,-79.0
"M 6.7 - 13 km N of Do?anyol, Turkey",6.7,24-01-2020 17:55,8,9,3,0,1247,us,0,0.87,49.0,0,10.0,38.0,39.0
"M 6.8 - 7 km S of Magsaysay, Philippines",6.8,15-12-2019 06:11,9,7,2,1,825,us,0,0.546,39.0,0,18.0,7.0,125.0
"M 7.1 - 138km E of Bitung, Indonesia",7.1,14-11-2019 16:17,6,6,4,1,799,us,0,1.271,11.0,0,33.0,2.0,126.0
"M 6.5 - 166km SSW of Ndoi Island, Fiji",6.5,08-11-2019 10:44,0,2,4,0,650,us,0,4.765,25.0,0,577.0,-22.0,-180.0
"M 6.6 - 136 km W of Neiafu, Tonga",6.6,04-11-2019 22:43,4,4,4,1,673,us,0,5.086,48.0,0,10.0,-19.0,-175.0
"M 6.5 - 2km ESE of Kisante, Philippines",6.5,31-10-2019 01:11,9,7,4,1,733,us,0,0.428,19.0,0,10.0,7.0,125.0
"M 6.6 - 10 km NE of Columbio, Philippines",6.6,29-10-2019 01:04,9,7,2,1,780,us,0,0.646,24.0,0,15.0,7.0,125.0
"M 6.7 - 70 km WSW of Constitución, Chile",6.7,29-09-2019 15:57,7,6,4,1,844,us,0,1.269,98.0,0,11.0,-35.0,-73.0
"M 6.5 - 11km S of Kairatu, Indonesia",6.5,25-09-2019 23:46,7,7,2,1,656,us,0,3.909,15.0,0,12.26,-3.0,128.0
"M 6.6 - 34km NNE of Ndoi Island, Fiji",6.6,01-09-2019 15:54,2,3,0,1,671,us,0,4.121,19.0,0,591.0,-20.0,-179.0
"M 6.6 - 131km S of Bristol Island, South Sandwich Islands",6.6,27-08-2019 23:55,0,4,4,1,670,us,0,12.896,19.0,0,16.0,-60.0,-27.0
"M 6.9 - 152 km SW of Labuan, Indonesia",6.9,02-08-2019 12:03,4,6,4,0,875,us,0,2.839,23.0,0,49.0,-7.0,105.0
"M 6.8 - 96 km SW of San Antonio, Chile",6.8,01-08-2019 18:28,6,6,4,1,947,us,0,0.817,35.0,0,25.0,-34.0,-72.0
"M 6.6 - 62km E of Lakatoro, Vanuatu",6.6,31-07-2019 15:02,0,4,4,1,670,us,0,6.024,30.0,0,181.0,-16.0,168.0
"M 7.2 - 93km NNE of Laiwui, Indonesia",7.2,14-07-2019 09:10,7,7,4,1,809,us,0,1.504,38.0,0,18.98,-1.0,128.0
"M 6.6 - 200km W of Broome, Australia",6.6,14-07-2019 05:39,5,5,4,0,791,us,0,2.978,32.0,0,10.0,-18.0,120.0
"M 6.9 - 134km WSW of Kota Ternate, Indonesia",6.9,07-07-2019 15:08,7,5,4,0,747,us,0,1.205,21.0,0,35.0,1.0,126.0
"M 7.1 - 18km W of Searles Valley, CA",7.1,06-07-2019 03:19,9,9,2,0,1646,ci,77,0.04616,43.0,5,8.0,36.0,-118.0
"M 7.3 - 292km NW of Saumlaki, Indonesia",7.3,24-06-2019 02:53,4,6,4,1,952,us,0,2.629,16.0,0,212.0,-6.0,129.0
"M 7.3 - 116km NE of L'Esperance Rock, New Zealand",7.3,15-06-2019 22:55,8,6,4,1,830,us,0,1.402,11.0,0,46.0,-31.0,-178.0
"M 6.6 - 32 km S of La Libertad, El Salvador",6.6,30-05-2019 09:03,7,6,2,1,886,us,0,1.193,22.0,0,57.92,13.0,-89.0
"M 8.0 - 78 km NE of Navarro, Peru",8.0,26-05-2019 07:41,9,8,3,1,1890,us,0,3.18,17.0,0,122.57,-6.0,-75.0
"M 7.6 - 46km SSE of Namatanai, Papua New Guinea",7.6,14-05-2019 12:58,7,7,4,1,929,us,0,0.453,16.0,0,10.0,-4.0,153.0
"M 7.1 - 33km NW of Bulolo, Papua New Guinea",7.1,06-05-2019 21:19,7,6,2,1,826,us,0,2.514,16.0,0,146.0,-7.0,146.0
"M 6.8 - 98km SSW of Luwuk, Indonesia",6.8,12-04-2019 11:40,5,6,4,1,717,us,0,0.791,28.0,0,15.46,-2.0,123.0
"M 6.5 - 83km ENE of Bristol Island, South Sandwich Islands",6.5,09-04-2019 17:53,0,5,4,1,650,us,0,7.568,18.0,0,38.0,-59.0,-25.0
"M 7.0 - 22 km NNE of Azángaro, Peru",7.0,01-03-2019 08:50,7,4,4,1,869,us,0,2.501,42.0,0,267.0,-15.0,-70.0
